linked,link,url,name
,FSIDLowerDrain,http://meas.ose.state.nm.us/site.jsp?id=190&status=Y&type=S&dist=2&basin=Fort Sumner,FSIDLowerDrain
,FSIDMainDrain,http://meas.ose.state.nm.us/site.jsp?id=189&status=Y&type=S&dist=2&basin=Fort Sumner,FSIDMainDrain
x,GallinasCanal,http://meas.ose.state.nm.us/site.jsp?id=54&status=Y&type=S&dist=6&basin=Gallinas,GallinasCanal
,GallinasRiverBelowMiddleDiversions,http://meas.ose.state.nm.us/site.jsp?id=214&status=Y&type=S&dist=6&basin=NPT,GallinasRiverBelowMiddleDiversions
x,GallinasRiverWeiratStorrie,http://meas.ose.state.nm.us/site.jsp?id=59&status=Y&type=S&dist=6&basin=Gallinas,GallinasRiverWeiratStorrie
,Gardunos,http://meas.ose.state.nm.us/site.jsp?id=21&status=Y&type=S&dist=6&basin=NPT,Gardunos
x,GilbertGomez,http://meas.ose.state.nm.us/site.jsp?id=154&status=Y&type=S&dist=2&basin=Roswell,GilbertGomez
x,GoForth,http://meas.ose.state.nm.us/site.jsp?id=202&status=Y&type=S&dist=3&basin=Mimbres Basin,GoForth
x,Gonzales,http://meas.ose.state.nm.us/site.jsp?id=220&status=Y&type=S&dist=6&basin=Lower Chama,Gonzales
x,Graves-Atterbury,http://meas.ose.state.nm.us/site.jsp?id=75&status=Y&type=S&dist=5&basin=Animas River,Graves-Atterbury
x,Greenhorn,http://meas.ose.state.nm.us/site.jsp?id=90&status=Y&type=S&dist=5&basin=La Plata River,Greenhorn
x,Greenwald,http://meas.ose.state.nm.us/site.jsp?id=197&status=Y&type=S&dist=3&basin=Mimbres Basin,Greenwald
x,Grijalva,http://meas.ose.state.nm.us/site.jsp?id=99&status=Y&type=S&dist=3&basin=Mimbres Basin,Grijalva
x,Grzelachowski,http://meas.ose.state.nm.us/site.jsp?id=56&status=Y&type=S&dist=6&basin=Gallinas,Grzelachowski
,Guicu,http://meas.ose.state.nm.us/site.jsp?id=223&status=Y&type=S&dist=6&basin=La Cienega Creek,Guicu
